mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
413304180,38967490,117696023,1,TB,4600,110,1642551077,1643624906,0,0,54,50,540,1,800,J,90,SHENGHAOHUANBAOYOU 2,4660,0,5,盛灏环保油2,0,0,12-09 22:10,157DBDBA786BA88C
413304186,38941726,117703661,99,,51100,0,0,1610093833,,0,0,0,0,0,0,,0,,18360,0,0,,0,13170,,77A54E92D57AE918
413304190,38945819,117760685,1,L,51100,180,1643558410,1643624882,0,0,52,70,350,1,5200,"TIANJIN,CN",120,JIN GANG LUN 26,9800,0,5,津港轮26,0,0,01-31 01:30,1B01292882AB4B07
413304210,39014215,117828897,1,BQEF,20500,190,1643613860,1643624734,4194304,0,52,30,350,1,5300,"TIANJIN,CN",120,JINGANGLUN 27,28480,0,5,津港轮27,0,0,02-01 09:00,B81FC250AE204350
413304250,38796075,117622279,1,BFBC3,28800,280,1643613287,1643624803,0,0,52,60,380,1,5000,,110,NAN GANG TUO 2,31100,0,5,南港拖2,0,0,01-31 21:10,5F3F4BC8651D482E
413249920,40372070,122175220,1,BACF,23600,230,1643592438,1643624647,0,0,70,70,1470,0,5200,"BAYUQUAN,CN",210,MING HE,12100,0,5,,0,0,01-28 19:00,CEB3D4FDB1A7D837
413304570,39009751,117747580,1,AP,12600,130,1642639325,1643624718,0,0,80,50,530,1,3200,"TIANJIN,CN",90,DONG LONG YOU 6,12640,0,5,东龙油6,0,51,01-20 12:00,8E35A01344BBBAC3
311000565,-31642568,153473873,2,C6CS9,20700,280,1643382304,1643625068,9790919,0,70,200,2290,0,7500,NEWCASTLE           ,350,MG NEPTUNE,20760,6,0,,0,7665,01-31 20:00,A344E45E73E33733
413304760,39017280,117831398,1,BQEH,300,250,1643604740,1643624839,0,0,52,60,350,1,5000,"TIANJIN,CN",130,JIN GANG LUN 29,19500,0,5,津港轮29,0,0,02-01 10:30,D183FCD3BF1F93F9
413304770,39018776,117832734,1,BQEG,20700,150,1643615310,1643624575,0,0,52,90,350,1,4800,"TIANJIN,CN",130,JINGANGLUN 28,13100,0,5,津港轮28,0,0,01-31 18:00,5455737A80FAD229
413304787,39012328,117756978,99,,11400,0,0,1611549813,,0,0,0,0,0,0,,0,,18340,0,5,,0,0,,A2B07B89104C6685
413304810,39006898,117821977,1,BSEV,20200,200,1643503331,1643624835,0,0,52,50,380,1,5000,"TIANJIN,CN",130,JIN GANG LUN 35,33920,0,5,津港轮35,0,0,01-29 01:00,13BE8F4FC84F1ADD
413304930,39011446,117780753,1,VSB2 CZ,35400,70,1642174517,1643531784,0,0,53,30,370,0,0,,60,DONGYUANGONGSHUI1,340,334,0,,0,0,01-01 00:00,87A24067AA52F729
413305260,39011687,117788834,1,BFBI2,200,250,1642469450,1643624618,0,0,89,60,750,1,4500,"TIANJIN,CN",130,ZHONGGANGYOU201,28900,0,5,中港油201,0,0,08-19 10:30,1576FDEECAF4A47C
413305349,31577188,121222821,99,,31300,0,0,1624386544,,0,0,0,0,0,0,,0,,31660,-11,15,,0,3087,,C4E52204613F2F52
413305350,39013939,117746357,1,H,12200,140,1643544757,1643624839,0,0,80,40,440,0,2200,"TIANJIN,CN",80,BAI DI YOU 6,12290,0,5,,0,0,01-30 20:20,2D7251EE5F1407D4
413305490,38982936,117747435,1,BRSJ,51100,100,1643438281,1643624645,0,0,52,20,400,1,4300,"TIANJIN,CN",100,DA GU LUN 6,24780,0,0,大沽轮6,0,51,01-29 12:00,3BC2606BFC497ABA
413305589,39017588,117788342,99,0A0H,11400,4190,1606337649,1639919483,0,0,80,320,8510,0,0,,320,,11430,-375,0,,0,40024,,3AE2A5A90B122D6F
413305590,38928898,117691858,1,BOLU5,0,130,1643534108,1643624709,0,0,84,50,530,1,3500,"TIANJIN,CN",90,HUANBOHAIYOU6,0,0,5,环渤海油6,0,0,01-30 12:15,5A59BEF004DBF3FD
413305620,40313246,122128451,99,YYYY,16700,90,1642670445,1643322695,0,0,80,80,550,1,0,,100,ZHONG HAI YOU28,16770,1,0,中海油28,0,206,,326EC843F9260C42
312014000,33988939,126283729,2,V3MH3,8500,190,1643451854,1643617238,8660052,0,70,110,1000,0,5900,"POHANG,KR",160,JIAN RUI 17,9000,0,0,,0,5659,02-01 21:00,1CA5E249F8160CCE
413306160,38938383,117667263,99,0000000,51100,380,1643466393,1643624731,0,0,60,20,450,0,1900,P                   ,100,GUO BIN 9,36000,0,5,,0,0,01-02 00:00,DF3FFB22ED3A78C9
413314760,38909798,118433205,99,,5700,0,0,1609620036,,0,0,0,0,0,0,,0,,1220,0,0,,0,206,,0858C682C843E235
413592270,28309306,121605305,1,BEMQ1,51100,190,1642371396,1643384265,0,0,70,80,1240,0,6500,TZ                  ,170,HENGTOUKAIYUAN,0,0,1,,0,0,01-15 23:00,B7624223FF72496E
370471000,35651244,123093266,2,3EXM6,17700,260,1643594964,1643623868,9553139,0,70,180,1690,0,6200,"TANJUNG PRIOK,ID",270,LUCKY RIVER,17900,0,0,,0,6585,02-10 06:00,BB7D7E82E43B1BB9
413325470,38467437,118563483,1,BBGB6,4100,310,1643621611,1643625065,0,0,70,80,1580,1,5400,"NINGBO,CN",230,XING YUAN ZHOU 9,5010,0,0,兴远舟9,0,5196,01-31 23:30,0065DF2A699333F9
413327771,35401526,119362006,99,,31800,0,0,1623383485,,0,0,0,0,0,0,,0,,28590,0,4,,0,6225,,E59F79934DD20764
414289000,33530921,120786454,2,BLBN9,1000,300,1643476943,1643624174,9207766,0,70,150,2250,1,13000,"DAFENG,CN",320,BEI LUN HAI SHI,9970,0,1,北仑海狮,0,257,01-30 20:00,02860AF3A78083AD
413424070,39005657,118043110,1,BLAF5,30600,360,1643551287,1643624737,0,0,70,100,1360,1,7400,"CHANGJIANGKOU,CN",190,XING NING 20,18400,0,1,兴宁20,0,0,02-05 09:09,45500FE0603A8671
636020396,38954605,117702916,2,D5ZA4,29400,280,1641672213,1643624938,9222338,0,70,100,1900,0,6500,TXG CN              ,320,SINO OCEAN,16300,0,5,,0,51,01-09 03:30,A9134E013063BB4A
